,Expert,Institution
1097,Ignas Snellen,University of Leiden
1098,Jeffrey Reitz,University of Toronto
1099,Anthony Fauci,National Institute of Allergy and Infectious Diseases
1100,Grayson Brown,University of Kentucky
1101,Jacquelyn Gill,University of Maine
1102,Jerry Coyne,University of Chicago
1103,Peter O’Dwyer,University of Pennsylvania
1104,C. T. Tan,University of Malaya
1105,Abu Romman,University of Illinois
1106,Ahlaam Ibraahim,University of Washington
1107,Daad Sharfi,Yale University
1108,NPR Ed,California State University
1109,Cal State,City University of New York
1110,David Stovall,Vanderbilt University
1111,David Stovall,University of Illinois at Chicago
1112,Marcell Johnson,University of Southern California
1113,John Logsdon,George Washington University
1114,Jennifer Balch,University of Colorado
1115,Jenny Radesky,University of Michigan
1116,Jenny Radesky,University of Michigan
1117,Cathy Mondloch,Brock University
1118,John Inazu,Washington University
1119,Lower Ed,Technical College
1120,Matt Dodd,University College London
1121,Matt Dodd,University College London
1122,Edward Wolff,New York University
1123,Jon Hanifin,Oregon Health and Science University
1124,Patrick Miller,University of Kansas
1125,Daniel Sulmasy,Georgetown University
1126,Hank Greely,Stanford University
1127,Rachel Vogel,University of Minnesota
1128,Peter Bergman,Teachers College
1129,Eric W. Chan,Teachers College
1130,Walter Kimbrough,Dillard University
1131,Catherine Kim,University of North Carolina Law School
1132,Tim Wolfe,University of Missouri System
1133,Rick Ostfeld,Cary Institute of Ecosystem Studies
1134,Nicholas Weaver,University of California at Berkeley
1135,Fernanda Herrera,Samford University
1136,Nicholas Weaver,University of California at Berkeley
1137,Roddy Roediger,Washington University
1138,Wesley Skogan,Northwestern University
1139,Bin He,University of Minnesota
1140,Siddhartha Srinivasa,Carnegie Mellon University
1141,Tanya Hernandez,Fordham University
1142,Jef Boeke,New York University School of Medicine
1143,George Church,Harvard University
1144,Laurie Zoloth,Northwestern University
1145,Dietrich Raue,University of Leipzig
1146,Paul Kindstedt,University of Vermont
1147,Mound Bayou,Delta State University
1148,Elise Gould,Economic Policy Institute
1149,Tara Sinclair,George Washington University
1150,Margo Anderson,University of Wisconsin
1151,Felicia Keesing,Bard College
1152,Lucy Cooke,University College London
1153,Lucy Cooke,University College London
1154,David Carrier,University of Utah
1155,Thomas Muinzer,University of Stirling
1156,Jeffrey Kahn,Johns Hopkins University
1157,Tom Glessner,National Institute of Family and Life Advocates
1158,Emilie Van Outeren,Free University of Amsterdam
1159,Vlad Tudor,Curtin University
1160,Karl Shoemaker,University of Wisconsin
1161,Jinghong Zhang,Yunnan University
1162,Thomas Albini,Bascom Palmer Eye Institute
1163,Samer Jabbour,American University of Beirut
1164,Bruce Weinberg,Ohio State University
1165,Ed Maguire,Arizona State University
1166,Vaibhav Tadepalli,Duke University
1167,Norberto Peporine Lopes,University of Sao Paulo
1168,Julián Faivovich,University of Buenos Aires
1169,Katie Hinde,Arizona State University
1170,Jonathan Temte,University of Wisconsin
1171,Jonathan Adler,Case Western Reserve University School of Law
1172,Robert Daum,University of Chicago
1173,John Helliwell,University of British Columbia
1174,Julian Zelizer,Princeton University
1175,Kathleen Clark,Washington University
1176,Kathleen Clark,Washington University
1177,pit latrine,Arizona State University
1178,Michael Gurven,University of California
1179,Raoul Schwing,Messerli Research Institute
1180,Jennifer Cafarella,Institute for Study of War
1181,David Greene,Princeton University
1182,Graham Colditz,Washington University
1183,Berry Fowler,Virginia Commonwealth University
1184,Craig Coopersmith,Emory University School of Medicine
1185,Phil Stinson,Bowling Green State University
1186,Seth Stoughton,University of South Carolina
1187,Fort Wayne,East Allen University
1188,Rachel Moon,University of Virginia
1189,Peter Henning,Wayne State University
1190,Lucia Maffei,Trump University
1191,Jack Gerard,American Petroleum Institute
1192,Carson Jeffres,University of California Davis Center for Watershed Sciences
1193,Anna Hedlund,Lund University
1194,Bobby Braun,College of Engineering
1195,Robert Califf,Duke University
1196,Craig Coopersmith,Emory University
1197,Mark Rumbak,University of South Florida
1198,Jeffrey Schott,Peterson Institute for International Economics
1199,Sandler Fellow,University of California San Francisco
1200,Jim Zarroli,Trump University
1201,Bryan Fry,University of Queensland
1202,Amanda E. Lewis,Institute for Research on Race and Public Policy
1203,Charles Franklin,Marquette University Law School
1204,Andrew Stokes,Boston University School of Public Health
1205,Esther Ngumbi,Auburn University
1206,Shiv Visvanathan,O. P. Jindal Global University
1207,Christopher Lasch,University of Denver
1208,Laurel Symes,Dartmouth College
1209,Lindsay Stark,Columbia University
1210,Vivid Pink,Gemological Institute of America
1211,James Cole,University of Brighton
1212,Bill Schutt,Long Island University
1213,Deanna Grimstead,Ohio State University
1214,Chad Bown,Peterson Institute for International Economics
1215,Kenneth Ledford,Case Western Reserve University
1216,Richard Schade,University of Cincinnati
1217,Bruce Dowton,Macquarie University
1218,Bana Jabri,University of Chicago
1219,Bana Jabri,University of Chicago
1220,Jeffrey Botkin,University of Utah
1221,Patrick O’Farrell,University of California
1222,Carlos Aguilar Salinas,National Institute of Medical Sciences and Nutrition
1223,Steven Jay Lynn,Binghamton University
1224,Sendhil Mullaianathan,Harvard University
1225,Christine Kihembo,Makerere University School of Public Health
1226,Angela Stent,Georgetown University
1227,Brian Martinson,HealthPartners Institute
1228,Gail Mellow,LaGuardia Community College
1229,Peggy Mason,University of Chicago
1230,Jay Trask,University of Northern Colorado
1231,Sammy DeGrave,Oxford University Museum of Natural History
1232,Ryan Shanahan,Institute
1233,James Gould,Princeton University
1234,Mary Allen,University of Wisconsin
1235,Brian Martinson,HealthPartners Institute
1236,Anthony Fauci,National Institutes of Health
1237,Diane Schanzenbach,Northwestern University
1238,Manning Marable,Columbia University
1239,James Meredith,University of Mississippi
1240,Heather Ann Thompson,University of Michigan
1241,Scott Huffmon,Winthrop University
1242,Scott Horsley,Economic Policy Institute
1243,Jacob Ledford,Dalton State College
1244,U. S. Olympic,Environmental Law Institute
1245,Anthony Corrado,Colby College
1246,Joe Castellano,Stanford University School of Medicine
1247,Thomas Park,University of Illinois at Chicago
1248,Jay Storz,University of Nebraska
1249,Rob Stein,Ohio State University College of Pharmacy
1250,Annie Dookhan,Hinton State Laboratory Institute
1251,Joseph Dieleman,Institute for Health Metrics Evaluation
1252,Rick Ostfeld,Cary Institute of Ecosystem Studies
1253,Cheryl Greenberg,Trinity College
1254,Diana Khuu,University of California
1255,Otto Frederick Warmbier,University of Virginia
1256,Mack Shelley,Iowa State University
1257,Christopher Howe,University of Cambridge
1258,Susan Selke,Michigan State University School of Packaging
1259,Dan Morgenstern,Rutgers Institute of Jazz Studies
1260,Jay Greenspan,Thomas Jefferson University
1261,Dena Davis,Lehigh University
1262,Scott Gelfand,Oklahoma State University
1263,Martin Yang,Beijing Gender Health Education Institute
1264,John McNabb,University of Southampton
1265,Simone Videsen,Aarhus University
1266,Montana Miller,Bowling Green State University
1267,Cynthia Lum,George Mason University
1268,Olive Kobusingye,Makerere University
1269,Carl Tobias,University of Richmond School of Law
1270,Tyler Wolfgang,University of Wyoming
1271,Anthony Fauci,National Institutes of Health
1272,Jack Gerard,American Petroleum Institute
1273,Philip Schwadel,University of Nebraska
1274,Patrick Maney,Boston College
1275,Bianca Bersani,University of   
1276,James Tour,Rice University
1277,Stefan Schroder,Max Planck Institute
1278,R. Adams Dudley,University of California
1279,Ben Shapiro,University of   
1280,Richard Spencer,Auburn University
1281,Peter Sunde,Aarhus University
1282,Phil Stinson,Bowling Green State University
1283,Peter Berkowitz,Stanford University
1284,Erika Lee,University of Minnesota
1285,Francesco Ricatti,University of Sunshine Coast
1286,Mas Subramanian,Oregon State University
1287,Ron Avi Astor,University of Southern California
1288,Rob Godby,University of Wyoming
1289,Timothy Piazza,Penn State University
1290,Christopher Murray,Institute for Health Metrics and Evaluation
1291,Paul Dirks,James Cook University
1292,Paul Dirks,James Cook University
1293,Paul Dirks,James Cook University
1294,Lee Berger,University of Witwatersrand
1295,Darla Zelenitsky,University of Calgary
1296,Tara Djokic,University of New South Wales
1297,Joseph Dieleman,Institute for Health Metrics and Evaluation
1298,Bruce Barritt,Washington State University
1299,Adam Finkel,University of Pennsylvania
1300,Brian Ward,Clemson University
1301,Alan Durning,Sightline Institute
1302,Koichi Nakano,Sophia University
1303,Tomoaki Iwai,Nihon University
1304,Ashlee Earl,Broad Institute
1305,Michael Gilmore,Broad Institute
1306,Simon Evnine,University of Miami
1307,Alexandra Horowitz,Barnard College
1308,Quin Monson,Brigham Young University
1309,Mary D’Alton,Columbia University Medical Center
1310,Ashley Heaney Butler,Rutgers University
1311,R. Joseph Waddington,University of Kentucky
1312,Martin Carnoy,Economic Policy Institute
1313,Martin Carnoy,Stanford University
1314,Michaeleen Doucleff,University of Florida
1315,Alexander B. Magoun,Institute of Electrical and Electronics Engineers
1316,Richard Spencer,Auburn University
1317,Esther Ngumbi,Auburn University
1318,Shay Rabineau,Binghamton University
1319,Jimmy Gurulé,University of Notre Dame
1320,Ken Gormley,Duquesne University
1321,Melanie DuPuis,Pace University
1322,Stephen Vladeck,University of Texas
1323,Angus Davison,University of Nottingham
1324,Shara Bailey,New York University
1325,Jerry Falwell,Liberty University
1326,Nicole Gelinas,Manhattan Institute
1327,Liz Nichols,Swarthmore College
1328,Tomas Roslin,Swedish University of Agricultural Sciences
1329,Eleanor Slade,University of Oxford
1330,Yves Basset,Smithsonian Tropical Research Institute
1331,Phyllis Coley,University of Utah
1332,Anna Lembke,Stanford University
1333,Jay Phillip Greene,University of Arkansas
1334,Kathleen Clark,Washington University School of Law
1335,Kazuya Saito,University of Tokyo
1336,Ralf Otterpohl,Institute of Wastewater Management and Water Protection
1337,Ken Goldstein,University of San Francisco
1338,Martin Carnoy,Stanford University
1339,Martin Carnoy,Economic Policy institute
1340,David Harris,University of Pittsburgh
1341,Deborah Tuerkheimer,Northwestern University Law
1342,David Harris,University of Pittsburgh
1343,Jeremy Goldbogen,Stanford University
1344,Bernard Wood,George Washington University
1345,Grace Wang,Duke University
1346,Zhu Lihan,University of Maryland CSSA
1347,George Harrop,Johns Hopkins University
1348,Tom Sherman,Georgetown University Medical Center
1349,Lena Ting,Emory University
1350,Michael Tanner,Cato Institute
1351,Joshua Gordon,National Institute of Mental Health
1352,Justin Pahara,Johns Hopkins University
1353,Art Schaafsma,University of Guelph
1354,Andrew Murray,University of Cambridge
1355,David Cope,University of California
1356,Toni Morrison,Chicago State University
1357,Jeremy Kahn,University of Pittsburgh
1358,Douglas Irwin,Dartmouth College
1359,Gary Walters,Princeton University
1360,Ira Longini,University of Florida
1361,Albert Hall,The Deaf Institute
1362,Myron Orfield,University of Minnesota Law School
1363,Betsy Congdon,Johns Hopkins University Applied Physics Laboratory
1364,Shi Yinhong,Renmin University
1365,Jill Lepore,Harvard University
1366,Taylor Hansen,University of Connecticut
1367,Patrick Murray,Monmouth University Polling Institute
1368,Pete Simi,Chapman University
1369,Scott Gaudi,Ohio State University
1370,Jonathan Fortney,University of California
1371,Stephanie Beechem,University of California
1372,F. Gregory,Texas AM University
1373,James Zogby,Arab American Institute
1374,Matthew Anderson,Sutherland Institute
1375,Mark Squillace,University of Colorado Law School
1376,Julia Haggerty,Montana State University
1377,Bill Walton,Auburn University
1378,Daniel Mills,University of Lincoln
1379,Christine Curry,University of Miami
1380,Bilal Butt,University of Michigan School of Natural Resources and Environment
1381,Teresa A. Sullivan,University of Virginia
1382,Otto Warmbier,University of Virginia
1383,Leighton Ku,George Washington University
1384,Andrea Constand,Temple University
1385,Dennis Sandgathe,Simon Fraser University
1386,Jill Pruetz,Iowa State University
1387,Nicole Herzog,Iowa State University
1388,white supremacists,George Washington University
1389,David Juurlink,University of Toronto
1390,Andrea Constand,Temple University
1391,Riad Kahwaji,Institute for Near East
1392,Peter McGraw,University of Colorado Boulder
1393,Judy Leavitt,University of   
1394,Berihu Gebrekidan,College of Veterinary Medicine
1395,Daniel Kanter,University of Cincinnati Health
1396,Stephen Vladeck,University of Texas
1397,Ray Tensing,University of Cincinnati
1398,Klara Silverstein,Schack Institute of Real Estate
1399,Alex Halderman,University of Michigan
1400,James Laurenceson,University of Technology Sydney
1401,Robert Berenson,Urban Institute
1402,Stefan Kertesz,University of Alabama at Birmingham School of Medicine
1403,Douglas Chang,University of California
1404,Nicholas Bagley,University of Michigan Law School
1405,Mary Caswell Stoddard,Princeton University
1406,Mark Hauber,Hunter College
1407,Jason Norsworthy,University of Arkansas
1408,Ray Tensing,University of Cincinnati
1409,Andrea Constand,Temple University
1410,Greg Barton,Deakin University
1411,Linda Blumberg,Urban Institute
1412,Dianne Lynch,Stephens College
1413,William Treanor,Georgetown University Law Center
1414,Susan Neuman,New York University
1415,de Lima,De La Salle University
1416,Gunnar Knapp,Institute of Social and Economic Research at
1417,James Evans,University of North Carolina
1418,Brooke Scelza,University of Los Angeles
1419,Ed Felten,Princeton University
1420,Aunchalee Palmquist,Elon University
1421,Alma Gottlieb,University of Illinois
1422,Lee Miringoff,Marist Institute for Public Opinion
1423,Lee Miringoff,Marist College Institute for Public Opinion
1424,Andrea Ion,University of Bucharest
1425,Billy Pizer,Duke University
1426,Chris Field,Stanford University
1427,Boris Tabakoff,University of Colorado
1428,Engineer Christopher Clark,Cornell University
1429,Linda Blumberg,Urban Institute
1430,Jane Dus,University Hospitals
1431,Paul Starrs,University of Nevada
1432,Lowry Burgess,Carnegie Mellon University
1433,Valentina Garcia,Dartmouth College
1434,Roberto Gonzales,Harvard University
1435,Ariel Alford,Howard University
1436,Dean Appling,University of Texas
1437,Michael Dunn,Brigham Young University
1438,Ali Ansari,University of St Andrews
1439,Jack Gerard,American Petroleum Institute
1440,Jeffrey Lewis,Middlebury Institute of International Studies
1441,Sanja Jelic,Columbia University
1442,Bill Broaddus,Virginia Commonwealth University Medical Center
1443,Daniel C. Richman,Columbia University
1444,Eric Schlegel,University of Texas
1445,Tom Brenna,Cornell University
1446,Barry Popkin,University of North Carolina
1447,Janet Kelso,Max Planck Institute for Evolutionary Anthropology
1448,Albert Zink,Institute for Mummies
1449,Liam Brierley,University of Edinburgh
1450,Llew Ehrhart,University of Central Florida
1451,Marion Nestle,New York University
1452,Olivier Ertzscheid,University of Nantes
1453,Mitesh Patel,University of Pennsylvania
1454,Dan Tokaji,Ohio State University
1455,Daphna Bassok,University of Virginia
1456,Monique Pressley,Cleveland State University
1457,Melissa Walker,Drexel University
1458,Kirk Carapezza,College of the Holy Cross
1459,Direk Limmathurotsakul,University of Oxford
1460,George W. Bush,Electoral College
1461,Scott Huffmon,Winthrop University
1462,Anna Sosa,Northern Arizona University
1463,Tim Carey,University of North Carolina
1464,Helen Wang,University at Buffalo
1465,Lance Price,George Washington University
1466,Alison Howard,Dominican University
1467,Donna Hoffman,University of Northern Iowa
1468,Mark Fitzpatrick,International Institute for Strategic Studies
1469,Subo Dong,Kavli Institute for Astronomy and Astrophysics at Peking University
1470,Edo Berger,Harvard University
1471,Nikos Vasilakis,University of Texas Medical Branch
1472,Brian Foy,Colorado State University
1473,Philip Jenkins,Baylor University
1474,Katy Kozhimannil,University of Minnesota School of Public Health
1475,U. S.,The U. S. Institute for Peace
1476,Matt Trevithick,American University of Afghanistan
1477,Joe Hibbeln,National Institutes of Health
1478,Drew Ramsey,Columbia University
1479,Arin Dube,University of Massachusetts Amherst
1480,Marcus Richards,University College London
1481,Marcus Richards,University College London
1482,Margie Lachman,Brandeis University
1483,Larry Summers,Harvard University
1484,David Jackson,University of Nebraska
1485,Felix Gillet,Felix Gillet Institute
1486,Evan Mandery,John Jay College of Criminal Justice
1487,Gavin Schmidt,Goddard Institute for Space Studies
1488,Kathy Campbell,University of Auckland
1489,Jordan Bechtold,University of Pittsburgh Medical Center
1490,Krista Lisdahl,University of Wisconsin
1491,Lindsay A. Cray,Earthworks Institute
1492,Sarah Doherty,University of Washington
1493,Mark Williams,Institute of Arctic and Alpine Research
1494,Parisa Ariya,McGill University
1495,Anne Nolin,Oregon State University
1496,Michel Martin,Brigham Young University
1497,Jason Wong,Emory University
1498,Roberto Suro,University of Southern California
1499,Don Schaffner,Rutgers University
1500,Kidney Diseases,National Institute of Diabetes and
1501,Anthony Fauci,National Institutes of Allergy and Infectious Disease
1502,Yong Zhao,University of Oregon
1503,Dorian Fuller,University College
1504,Dorian Fuller,University College
1505,Amy Rowe,Rutgers University
1506,Steffen Schmidt,Iowa State University
1507,Patrick Stewart,University of Arkansas
1508,Anthony Fauci,National Institute of Allergy and Infectious Diseases
1509,David Scheel,Alaska Pacific University
1510,Lauren Davenport,Stanford University
1511,Albert Ko,Yale University
1512,Edward Dubovi,Cornell University
1513,Mark G. Thomas,University College London
1514,Mark G. Thomas,University College London
1515,Immo Hansen,New Mexico State University
1516,Julia Zappa,University of St. Thomas
1517,Anthony Corrado,Colby College
1518,Jerry Falwell Jr.,Liberty University
1519,John Vidale,University of Washington
1520,Robin Jacob,University of Michigan
1521,Robert Tesh,University of Texas Medical Branch
1522,Andrea Constand,Temple University
1523,Joanne Gabrynowicz,International Institute of Space Law
1524,Vladimir Emilien,University of Michigan
1525,Mark Osler,University of St. Thomas
1526,James Augustine,American College of Emergency Physicians
1527,David Livingston,University Hospital
1528,Janet Tomiyama,University of California
1529,Melissa Gray,Culinary Institute of America
1530,Michael McDonald,University of Florida
1531,Anthony Fauci,National Institute of Allergy and Infectious Diseases
1532,Daphne Bavelier,University of Geneva
1533,Dorothy Roberts,University of Pennsylvania
1534,Nitasha Tamar Sharma,Northwestern University
1535,Arnold Monto,University of Michigan School of Public Health
1536,Allison Aiello,University of North Carolina
1537,Mark Kleiman,Marron Institute of Urban Management
1538,Earl Little,University of Miami
1539,Margaret Haney,Columbia University
1540,Planned Parenthood,University of Texas
1541,Stephen Conley,University of California
1542,Rob Jackson,Stanford University
1543,Clive Wynne,Arizona State University
1544,Marten Edwards,Muhlenberg College
1545,Rebekah Kading,Colorado State University
1546,Josh Putnam,University of Georgia
1547,Stacey Ritz,McMaster University
1548,Taher Baderkhan,Brandeis University
1549,Kenneth Langa,University of Michigan
1550,N. C.,N. C. State University
1551,Saul Teukolsky,Cornell University
1552,Mina Arvanitaki,Perimeter Institute of Physics
1553,Jessica Tolbert,Claflin University
1554,Gabriela González,Louisiana State University
1555,Yolande Bouka,Institute for Security Studies
1556,JAMA Neurology,University of Pittsburgh
1557,Brian Wansink,Cornell University
1558,Lisa Singh,Georgetown University
1559,Gene Chorba,Georgia State University
1560,Jenny Mandl,University of Maryland
1561,Maria Schneider,University of Minnesota
1562,Peter Snyder,University of Pennsylvania
1563,Andra Gillespie,Emory University
1564,Kent Brantly,Emory University
1565,Franklin Fowler,Wesleyan University
1566,Jonathan Butler,University of Missouri
1567,Larry Zwiebel,Vanderbilt University
1568,Steven Kittner,University of Maryland School of Medicine
1569,Amytis Towfighi,University of Southern California
1570,Jessie Runnoe,Penn State University
1571,Michael Franz,Bowdoin College
1572,Ray Chen,Yale University
1573,Gerald Friedman,University of Massachusetts
1574,Austan Goolsbee,University of Chicago Booth School of Business
1575,Engineer David Awschalom,University of California
1576,Melissa Brown,Northwestern University
1577,George Liu,University of California
1578,Shelley Adamo,Dalhousie University
1579,Miguel Martinez,University of Texas
1580,Taevin Lewis,State University
1581,Linda Harris,Illinois Institute of Technology
1582,Nancy La Vigne,Urban Institute
1583,Michael McDonald,University of Florida
1584,Erik Gordon,University of Michigan Ross School of Business
1585,Steven Peitzman,Drexel University College of Medicine
1586,Steven Peitzman,Drexel University College of Medicine
1587,Craig Haney,University of California Santa Cruz
1588,David Smith,University of Western Australia
1589,Hugh Willison,University of Glasgow
1590,Dan Polsky,University of Pennsylvania
1591,Dennis Andrulis,Texas Health Institute
1592,Jerry Falwell Jr.,Liberty University
1593,Amy Stuart Wells,Teachers College
1594,Kaustubh Adhikari,University College London
1595,Elizabeth Tibbetts,University of Michigan
1596,Erin Hanlon,University of Chicago Medical Center
1597,Julie Rosenthal,University of Michigan Kellogg Eye Center
1598,John Gabrieli,Massachusetts Institute of Technology
1599,Anthony Fauci,National Institute of Allergy and Infectious Diseases
1600,Jacqueline Stewart,University of Chicago
1601,Anthony Fauci,National Institute of Allergy and Infectious Diseases
1602,Pascal Oesch,Yale University
1603,Aja Beckham,University of Illinois
1604,Kyle Wickham,University of Chicago
1605,Garnell Purcell,Stevenson University
1606,Cynthia Lockwood,Tuskegee University
1607,Nicole Sanchez,Yale University
1608,Foad Izadi,Tehran University
1609,Thomas Seyfried,Boston College
1610,Dominic D’Agostino,University of South Florida
1611,Stuart Baker,National Cancer Institute
1612,Eugene Fine,Albert Einstein College of Medicine and University of Pittsburgh
1613,Joseph Maroon,Albert Einstein College of Medicine and University of Pittsburgh
1614,Robert Scott,Economic Policy Institute
1615,Hillary Clinton,Economic Policy Institute
1616,Aycan Celikaksoy,Stockholm University
1617,Dave O’Connor,University of   
1618,Thomas Friedrich,University of Wisconsin
1619,Daniel Lieberman,Harvard University
1620,Shosuke Yoshida,Kyoto University
1621,Carolyn Lukensmeyer,National Institute for Civil Discourse
1622,Christine Curry,University of Miami
1623,Fat History,George Mason University
1624,Helga Zoëga,University of Iceland
1625,Izaic Yorks,University of Washington
1626,Yasuhiko Sumida,Cooperative Institute for Meteorological Satellite Studies
1627,John Kasich,University of  
1628,Al Gore,Electoral College
1629,Mitt Romney,Electoral College
1630,Andrew Oswald,University of Warwick
1631,Ally Stegman,University of Maryland
1632,Ann McKee,Boston University
1633,Zeynep Tufekci,University of North Carolina
1634,Nick Bostrom,Oxford University
1635,Catharine Utzschneider,Boston College Sports Leadership Center
1636,Karen Reivich,University of Pennsylvania
1637,Roy Flechner,Cambridge University
1638,Regina Sexton,University College Cork
1639,Dana Frank,University of California
1640,Temple Grandin,Colorado State University
1641,Anne Pringle,University of Wisconsin
1642,Antonio Genova,Massachusetts Institute of Technology
1643,Lee Hannah,University of California
1644,Kees Van Leeuwen,Agricultural University of Bordeaux
1645,Mark Trahant,University of North Dakota
1646,Orin Kerr,George Washington University
1647,Harleen Gambhir,Institute for Study of War
1648,Christopher Green,Leiden University
1649,Oliver Pybus,University of Oxford
1650,John Coleman,University of Minnesota
1651,Thomas Zeitzoff,American University
1652,Brendan Nyhan,Dartmouth College
1653,Oliver Cooke,Stockton University
1654,Barry Lester,Brown University
1655,Sean Jones,Berklee College of Music
1656,Harry Bertoia,Marshall University
1657,Stony Brook,State University of New York
1658,Russell Garwood,University of Manchester
1659,Marc Bellemare,University of Minnesota
1660,Seth Gitter,Towson University
1661,Janet Foley,Bennington College
1662,Douglas Laycock,University of Virginia
1663,Mark Anthony Neal,Duke University
1664,John Markman,University of Rochester
1665,Nathan Yozwiak,Broad Institute
1666,Nathan Yozwiak,Broad Institute
1667,Kelly McEvers,Shawnee State University
1668,Roger Michel,Institute for Digital Archaeology
1669,Chris Elliott,Institute for Global Food Security
1670,Rob Ruck,University of Pittsburgh
1671,Joseph Watts,University of Auckland
1672,Richard Hasen,University of California at Irvine
1673,Joakim Palme,Uppsala University
1674,Linda Houser,Widener University
1675,Karl Gebhardt,University of Texas
1676,Justin Pearson,Institute for Justice
1677,George Mason,George Mason University
1678,David Swensen,Yale University
1679,Nicholas Turner,Vera Institute
1680,Jeremy Travis,John Jay College of Criminal Justice
1681,Kalena Silva,University of Hawaii
1682,Caroline Adelman,Columbia University
1683,Donald Green,Columbia University
1684,Elizabeth Paluck,Princeton University
1685,Nazimuddin Samad,Jagannath University
1686,Robert Francis,Wesleyan University Press
1687,Sean Gulick,University of Texas
1688,Bill Clinton,University of Wyoming
1689,Jacquie Lee,American University
1690,Carolyn McGettigan,Royal Holloway University of London
1691,Raj Chetty,Stanford University
1692,Michael Stepner,Massachusetts Institute of Technology Benjamin Scuderi
1693,David Cutler,Harvard University
1694,Thomas Weiser,Stanford University School of Medicine
1695,Caroline Fraser,Yale University
1696,Jennifer Carlson,University of Toronto
1697,Alejandro Penaloza,Oklahoma State University
1698,N. Y.,Feinstein Institute for Medical Research
1699,Roger Hartley,University of Baltimore
1700,David Kipping,Columbia University
1701,Rory Barnes,University of Washington
1702,Agustin Fuentes,Notre Dame University
1703,Kevin Laland,University of St. Andrews
1704,Ken Cadwell,New York University
1705,Michael Dunn,Brigham Young University
1706,Yinong Yang,Penn State University
1707,Jose Scher,New York University
1708,Daniel M. Oppenheimer,Princeton University
1709,Daniel M. Oppenheimer,Princeton University
1710,Stan Kutcher,Dalhousie University
1711,Peter Balakian,University of Chicago Press
1712,Bruce Baker,Rutgers University
1713,Mark DeBoer,University of Virginia
1714,Marc Schindler,Justice Policy Institute
1715,Matthew Blaze,University of Pennsylvania
1716,Gregory Caporaso,Northern Arizona University
1717,Maryellen Molyneaux,Natural Marketing Institute
1718,Glenn Gibson,University of Reading
1719,Jack Hoadley,Georgetown University Health Policy Institute
1720,Patrick Egan,New York University
1721,Megan Mullin,Duke University
1722,Karsonya Wise Whitehead,Loyola University
1723,David Jaros,University of Baltimore School of Law
1724,Rob Jackson,Stanford University
1725,Jitender Sareen,University of Manitoba
1726,Maria Oquendo,Columbia University Medical Center
1727,Mo Elleithee,Georgetown Institute of Politics and Public Service
1728,Theodore Leinwand,University of Maryland
1729,Donald Trump,University of Illinois at Chicago
1730,Stony Brook,State University of New York
1731,Jesse Jannetta,Urban Institute
1732,Shefali Luthra,University of Maryland
1733,Erika Lee,University of Minnesota
1734,Jon Caldara,Independence Institute
1735,Kirabo Jackson,Northwestern University
1736,Brian Ward,Clemson University
1737,Tom Robinson,Stanford University
1738,Howard Fox,University of Nebraska Medical Center
1739,Pérez Alvarez,Miguel Hernandez University of Elche
1740,Kelly Dittmar,Rutgers University
1741,Andra Gillespie,Emory University
1742,David Swensen,Yale University
1743,Dorret Boomsma,Vrije University
1744,Bobby Knight,Indiana University
1745,Sireen El Zaatari,University of Tübingen
1746,Susan Cachel,Rutgers University
1747,Shara Bailey,New York University
1748,Neil Gross,Colby College
1749,Jon Caldara,Independence Institute
1750,Kathy Cramer,University of Wisconsin
1751,Bobby Knight,Indiana University
1752,Michael Gillon,University of Liege
1753,Michael David Clark,University of Cambridge
1754,John Ioannidis,Stanford University Medical School
1755,Hannah Gardener,University of Miami
1756,Clinton Wright,University of Miami
1757,Bobby Knight,Indiana University
1758,Bernard Begaud,University of Bordeaux
1759,Steve Alexander,University of Nottingham Medical School
1760,Rebecca Dresser,Washington University
1761,Piotr Le,Georgetown University
1762,Mark Rosenfield,SUNY College of Optometry
1763,Ali Brinvalou,Rockefeller University
1764,Melinda Nichols,Low Income Housing Institute
1765,Camelia Kuhnen,University of North Carolina
1766,Jeffrey Bratberg,University of Rhode Island
1767,Dennis O’Rourke,University of Utah
1768,Jennifer Raff,University of Texas
1769,Larry Cohen,Prevention Institute
1770,Joanna Morgan,Imperial College
1771,Sean Gulick,University of Texas
1772,Julie Shakib,University of Utah School of Medicine
1773,Mitch Kronenberg,La Jolla Institute for Allergy and Immunology
1774,Angelo Nicolaides,University of South Africa
1775,Joseph LaPorte,Hope College
1776,The Gluten Lie,James Madison University
1777,Julian Binfield,University of Missouri
1778,Deborah Jordan Brooks,Dartmouth College
1779,Timothy Morton,Princeton University
1780,Thomas Sherman,Georgetown University
1781,Simon Albert,University of Queensland
1782,Indira Mysorekar,Washington University
1783,Terry Gross,Vera Institute
1784,Peter Pan Seafoods,National Fisheries Institute
1785,Bruce Chassy,University of Illinois
1786,Kai Grevsen,Aarhus University
1787,Mary McVeigh,Wharton School of University of Pennsylvania
1788,Ben Gucciardi,Lehigh University
1789,David Damore,University of Nevada
1790,Drew Ramsey,Columbia University
1791,Linn Washington,Temple University
1792,Carolyn Maloney,National Institutes of Health
1793,Jennifer Lawless,American University
1794,Sarah Niebler,Dickinson College
1795,Fred Gould,North Carolina State University
1796,Hillary Clinton,Claremont McKenna College
1797,Nicholas Lardy,Peterson Institute for International Economics
1798,Jason Robert,Arizona State University
